ItemName,Price,eValue
Dragonbane Charm,150507,150507
Fire Bowl Fuel,62009,62009
SUPER|brie+,15249,15249
Flawless Orb,2473,2473
Lantern Oil Charm,70000,70000
Coconut Milk,800,800
Divine Orb,14390,14390
Splintered Wood,1,1
Crescent Cheese,6489,6489
Ionized Salt,450,450
Glowing Gruyere Cheese,15200,15200
Living Shard,1200,1200
Dragon Scale,12187,12187
Scrap Metal,4446,4446
Meteorite Piece,2280,2280
Mysterious Box,150507,150507
Magic Essence,15249,15249
Moon Cheese,16328,16328
Maki Cheese,16490,16490
Nightshade,38200,38200
Simple Orb,3888,3888
Orange Winter Hunt Gift Box,59060,59060
Sap Filled Thorn,3500,3500
Ful'Mina's Tooth,7312450,7312450
Let it Snow Charm,186987,186987
Calcified Rift Mist,2200,2200
Rancid Radioactive Blue Cheese,1600,1600
Nightshade Farming Charm,38200,38200
Ancient String Cheese Potion,20300,20300
Ancient String Cheese,22900,22900
Rift Power Charm,45000,45000
Super Rotten Charm,4500,4500
Gilded Charm,28980,28980
Timesplit Rune,13400000,13400000
Clockwork Cog,267000,267000
Tiny Sprocket,474,474
Snowball Charm,1988,1988
Rift Antiskele Charm,7100,7100
Ultimate Spore Charm,49000,49000
Snow Golem,517752,704149
Snow Golem Head,172584,234716
Snow Golem Torso,172584,234716
Snow Golem Limb,43146,58679
Portal Scrambler,260000,260000
Brie String Cheese,1600,1600
Gold,1,1
Timesplit Charm,222000,222000
Magical Winter Hunt Holiday Hat,2001500,2001500
King's Credit,2280,2280
Drill Charge,80000,80000
Throwable Snowball,2865,2865
Rift Cherries,3000,3000
Rift Torn Roots,3000,3000
Tech Power Core,0,4723
Sacred Script,0,2280000
Scholar Scroll,0,4723
Runic String Cheese,0,23400
Lantern Oil,0,15249
Plate of Fealty,0,4723
Plates of Fealty,0,4723
Infused Plate,0,2700000
Shuffler's Cube,0,141690
,,
